,JoiningYear,PaymentTier,Age,ExperienceInCurrentDomain,Education_Bachelors,Education_Masters,Education_PHD,City_Bangalore,City_New Delhi,City_Pune,Gender_Female,Gender_Male,EverBenched_No,EverBenched_Yes
21,2017,2,28,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
22,2017,2,36,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
23,2015,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
24,2017,3,29,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
25,2013,3,22,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
26,2016,3,37,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
27,2015,3,23,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
28,2013,2,31,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
29,2017,2,30,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
30,2013,3,25,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
31,2014,3,23,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
32,2018,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
33,2016,3,40,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
34,2017,2,37,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
35,2014,1,30,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
36,2012,3,29,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
37,2018,2,34,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
38,2017,2,29,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
39,2014,3,30,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
40,2015,3,36,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
41,2017,2,23,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
42,2013,3,30,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
43,2014,3,36,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
44,2015,3,39,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
45,2014,3,23,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
46,2012,3,27,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
47,2013,3,35,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
48,2017,2,34,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
49,2013,3,30,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
50,2017,3,34,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
51,2015,2,26,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
52,2016,3,34,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
53,2014,3,31,5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
54,2017,3,31,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
55,2013,3,28,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
56,2016,3,38,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
57,2014,3,39,2,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
58,2013,3,32,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
59,2017,2,36,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
60,2013,3,29,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
61,2015,3,30,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
62,2013,2,25,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
63,2014,1,22,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
64,2016,3,34,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
65,2018,3,40,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
66,2013,3,26,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
67,2014,3,28,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
68,2015,3,24,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
69,2017,3,40,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
70,2018,3,23,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
71,2017,3,31,4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
72,2014,3,25,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
73,2014,1,27,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
74,2017,2,25,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
75,2015,3,40,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
76,2014,1,23,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
77,2017,3,23,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
78,2012,3,39,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
79,2015,1,37,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
80,2017,3,38,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
81,2013,3,31,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
82,2016,3,38,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
83,2017,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
84,2015,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
85,2016,2,36,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
86,2017,2,27,5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
87,2015,2,32,4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
88,2014,3,28,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
89,2012,3,32,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
90,2018,3,30,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
91,2015,3,22,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
92,2017,2,34,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
93,2013,3,36,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
94,2014,3,39,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
95,2018,3,26,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
96,2016,3,31,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
97,2014,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
98,2014,3,29,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
99,2015,3,24,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
100,2012,3,25,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
101,2013,3,25,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
102,2017,3,26,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
103,2015,2,28,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
104,2017,3,28,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
105,2015,1,28,3,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
106,2015,3,25,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
107,2017,3,28,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
108,2013,3,25,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
109,2015,2,25,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
110,2015,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
111,2017,2,27,5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
112,2013,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
113,2012,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
114,2017,2,28,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
115,2014,1,26,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
116,2015,3,28,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
117,2013,3,26,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
118,2017,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
119,2017,2,25,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
120,2012,1,28,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
121,2015,3,26,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
122,2015,3,25,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
123,2012,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
124,2014,3,28,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
125,2014,3,24,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
126,2013,3,28,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
127,2015,3,27,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
128,2018,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
129,2013,1,24,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
130,2017,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
131,2013,3,28,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
132,2016,3,27,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
133,2017,3,26,4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
134,2017,2,24,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
135,2018,3,26,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
136,2017,1,25,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
137,2012,3,28,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
138,2017,3,28,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
139,2013,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
140,2013,3,27,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
141,2017,2,24,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
142,2017,3,28,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
143,2016,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
144,2013,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
145,2015,2,28,3,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
146,2014,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
147,2016,3,28,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
148,2013,1,25,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
149,2015,3,26,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
150,2018,3,27,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
151,2016,3,24,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
152,2012,2,24,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
153,2014,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
154,2016,2,24,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
155,2012,3,26,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
156,2013,3,28,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
157,2012,3,24,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
158,2015,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
159,2016,3,28,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
160,2014,3,28,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
161,2013,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
162,2017,3,24,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
163,2016,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
164,2015,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
165,2014,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
166,2012,3,24,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
167,2014,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
168,2015,3,28,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
169,2015,3,26,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
170,2014,3,28,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
171,2015,3,25,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
172,2015,2,28,2,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
173,2014,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
174,2013,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
175,2016,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
176,2012,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
177,2015,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
178,2014,3,24,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
179,2012,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
180,2017,3,27,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
181,2015,3,27,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
182,2018,3,24,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
183,2017,3,27,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
184,2017,2,28,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
185,2017,2,24,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
186,2016,3,25,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
187,2015,3,28,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
188,2017,2,26,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
189,2013,2,27,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
190,2015,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
191,2015,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
192,2013,3,28,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
193,2015,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
194,2013,3,25,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
195,2013,3,28,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
196,2017,3,24,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
197,2013,3,27,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
198,2015,3,28,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
199,2015,3,28,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
200,2014,2,25,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
201,2014,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
202,2017,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
203,2014,2,26,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
204,2013,3,24,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
205,2015,2,26,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
206,2017,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
207,2013,2,27,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
208,2017,3,28,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
209,2012,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
210,2017,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
211,2017,2,27,5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
212,2013,2,28,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
213,2017,3,28,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
214,2018,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
215,2014,3,25,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
216,2017,3,27,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
217,2013,3,26,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
218,2013,2,25,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
219,2012,3,26,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
220,2016,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
221,2013,2,26,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
222,2018,3,28,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
223,2013,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
224,2015,1,24,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
225,2013,3,28,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
226,2015,2,27,5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
227,2018,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
228,2014,2,27,5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
229,2013,3,24,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
230,2014,3,24,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
231,2015,2,25,3,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
232,2014,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
233,2018,3,24,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
234,2015,2,25,3,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
235,2015,3,24,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
236,2014,3,24,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
237,2017,2,26,4,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
238,2012,3,28,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
239,2017,2,26,4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
240,2016,3,25,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
241,2017,3,24,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
242,2013,2,28,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
243,2014,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
244,2014,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
245,2014,2,24,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
246,2015,3,28,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
247,2015,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
248,2016,3,26,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
249,2015,3,26,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
250,2016,1,28,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
251,2014,3,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
252,2014,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
253,2017,3,28,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
254,2018,3,24,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
255,2017,2,25,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
256,2018,2,24,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
257,2017,2,28,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
258,2013,1,27,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
259,2017,2,27,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
260,2017,3,28,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
261,2016,2,27,5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
262,2018,3,24,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
263,2012,1,26,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
264,2016,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
265,2016,1,27,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
266,2015,3,26,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
267,2012,3,27,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
268,2013,3,24,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
269,2018,3,26,4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
